id;nombre;fecha;archivo_blob;archivo_blob_content_type;archivo_csv;archivo_csv_content_type
1;driver Ohio Generic Granite Table;2020-07-26;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;navigating granular;2020-07-25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Ohio;2020-07-25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;HDD IB;2020-07-26;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;Saudi Riyal;2020-07-25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;input streamline;2020-07-26;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;best-of-breed Refined Wooden Salad Svalbard & Jan Mayen Islands;2020-07-25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;transform calculating Accounts;2020-07-25;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Fresh Ball;2020-07-26;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;parse database Rhode Island;2020-07-26;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
