id;suministro;usuario;inmueble;periodo;numero;vencimiento_1;vencimiento_2;importe_1;importe_2;servicio;tarifa;archivopdf;estado;dni;socio
1;CFA Franc BEAC;Function-based Florida Pine;schemas hybrid transition;architect overriding;Oklahoma;2020-06-24;2020-06-24;18749;99908;green Home interface;Sleek;Licensed;synthesize;South Dakota;HDD Producer
2;Steel users Savings Account;Borders Future;holistic Dynamic;Shoes Fresh;SMTP deposit Bedfordshire;2020-06-24;2020-06-24;11716;22553;channels;Granite;optical;Costa Rican Colon;Cotton Solutions;parse
3;Enterprise-wide encompassing;withdrawal directional;utilize transparent Washington;knowledge user synthesize;Handcrafted navigate;2020-06-25;2020-06-24;79678;99405;reintermediate Lead Fantastic Cotton Pants;input virtual Health;Lead Flat;override;definition;analyzer deposit
4;Orchestrator B2B;Outdoors Diverse;value-added Rand Namibia Dollar;Developer;International FTP Kids;2020-06-25;2020-06-25;24999;58522;multimedia;Product Open-source;mint green;Intelligent Concrete Salad extend;Refined Marketing;generate
5;back-end payment;enterprise;end-to-end capacitor bandwidth;Concrete Customer Maryland;Soft Granite;2020-06-25;2020-06-24;5037;21666;AGP Pants withdrawal;Granite scalable;bypassing;website;Plastic middleware;Borders Small
6;Avon International;microchip Unbranded Plastic Salad Fall;connecting;Generic Awesome;transmitting;2020-06-24;2020-06-24;37656;25277;Soft Interactions;interface Salad synthesizing;copying;Bahamian Dollar;SQL primary;Steel
7;Sudanese Pound Dobra deposit;Fords Bedfordshire;Forge;infrastructure;Maine;2020-06-25;2020-06-24;21995;8912;Buckinghamshire;Auto Loan Account;Associate;FTP;Infrastructure;Kwanza
8;Buckinghamshire Louisiana enterprise;Isle evolve conglomeration;Accountability bypass B2B;withdrawal Track Rubber;Implementation;2020-06-24;2020-06-25;8576;70391;Credit Card Account;ivory;back-end paradigms;Polarised;Fresh;Colorado Bahrain
9;payment azure;program synthesize Soap;Pines Strategist distributed;seize;1080p;2020-06-25;2020-06-25;37023;98611;Arkansas Cotton open-source;Upgradable;Computers Response Burg;Gorgeous;Reunion Iranian Rial Functionality;Pants primary
10;payment;Electronics Unbranded Metal Shoes;IB wireless;copy;Berkshire;2020-06-25;2020-06-25;65889;5285;Analyst Dynamic Soft;tangible;payment Concrete Licensed Fresh Soap;override;Missouri Cambridgeshire;Division Multi-lateral
