id;suministro;servicio;inmueble;usuario;dni;tarifa
1;Direct Identity Cambridgeshire;Computer;Hawaii;eco-centric disintermediate Principal;vortals Computer;California Berkshire
2;robust Cross-group;Business-focused;Direct;Strategist foreground Salad;bandwidth;Fantastic Plastic Shoes Credit Card Account implement
3;Fords Auto Loan Account Games;Lead Sleek Agent;Sleek Books Engineer;human-resource Isle;Operations;interface
4;deposit Engineer;Group SQL;Gorgeous protocol;New York Bedfordshire;Ohio bypassing;mission-critical customized synthesizing
5;synergy Pants transparent;zero tolerance;Unions Cotton system;Tasty;utilize;deposit EXE
6;Towels plug-and-play;North Dakota Unbranded online;Rubber User-centric withdrawal;Massachusetts;Turnpike Music Salad;parse
7;payment;Switchable;Personal Loan Account Small Fresh Tuna;global Rustic;Home Loan Account Fantastic;Dale
8;Cook Islands;Facilitator Metical;Credit Card Account;customized markets;generate user-centric;Central
9;multi-state;ADP parsing scalable;Generic Rubber Keyboard Handcrafted;sexy Generic;compelling multi-byte transmitting;Russian Federation
10;paradigm invoice;Infrastructure maroon Regional;quantifying Avon initiatives;Table markets scalable;Credit Card Account;Direct
